step,action,rows_affected,reason
1,Combined both corrected source CSV files,11426,Create one six-label dataset.
2,Preserved backend-compatible label quiet_room_white_noise,1906,Avoid an additional label mapping in FastAPI and Flutter.
3,Split capture_20260719212703 into two logical captures,952,The run contains two consecutive two-minute quiet-room captures.
4,Removed unmatched tail rows,2,Node01 and node03 each emitted one extra final row in the four-minute run.
5,Trimmed first and last two one-second windows per logical capture,384,"Reduce start/stop, button, playback, and transition artifacts."
6,"Validated sample rate, calibration state, numeric values, ratio bounds, temperature, and humidity",0,Remove invalid sensor records without deleting legitimate loud acoustic events.
7,Removed label-leakage and non-model columns,11040,"target_band and suggested_z_metric encode the selected label; timestamps, run IDs, node IDs, temperature, and humidity are metadata rather than acoustic inputs."
8,Removed constants and deterministic/redundant features,11040,Examples: band_sub_ratio and band_sub_peak_hz are constant; db_spl duplicates dbfs with an offset; room_band_total_energy nearly duplicates fft_total_energy.
9,Created capture-grouped 75/25 training/testing split,11040,"All four nodes and all seconds from a capture remain in the same split, preventing capture leakage."
10,"Created four-node room-fused samples using mean, standard deviation, and range",2760,Use the distributed system as designed and reduce node-specific bias.
